"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (K510001)","K510001[00000]","K510001[00100]","K510001[00200]", ,"K510001[00400]", ,"K510001[00600]","K510001[00700]", , ,"K510001[01000]","K510001[01100]", ,"K510001[01300]","K510001[01400]", ,"K510001[01600]","K510001[01700]","K510001[01800]", , , , , ,"K510001[02400]", ,"K510001[02600]","K510001[02700]","K510001[02800]"
"Line(00100)", ,"63314","62425", ,"853882", ,"43626","139978", , ,"47434","15382", ,"248257","46796", ,"29495","26811","8218", , , , , ,"2030382", ,"2030382"
"Line(00400)","204729", , , , , , , , , , , , , , , , , , , , , , , ,"219951", ,"219951","73076","293027"
"Line(00500)","3592944", , , , , , , , , , , , , , , , , , , , , , , ,"3860091", ,"3860091","1282462","5142553"
"Line(01000)","657652", , , , , , , , , , , , , , , , , , , , , , , ,"706550", ,"706550","234742","941292"
"Line(01400)","538584", , , , , , , , , , , , , , , , , , , , , , , ,"578629", ,"578629","192242","770871"
"Line(01700)","9643", , , , , , , , , , , , , , , , , , , , , , , ,"10360", ,"10360","3442","13802"
"Line(02200)","93166", , , , , , , , , , , , , , , , , , , , , , , ,"100093", ,"100093","33255","133348"
"Line(02300)","9364", , , , , , , , , , , , , , , , , , , , , , , ,"10060", ,"10060","3342","13402"
"Line(02400)","10945", , , , , , , , , , , , , , , , , , , , , , , ,"11759", ,"11759","3907","15666"
"Line(03000)","571285", , , , , , , , , , , , , , , , , , , , , , , ,"613762", ,"613762","203914","817676"
"Line(03400)","5688312","63314","62425", ,"853882", ,"43626","139978", , ,"47434","15382", ,"248257","46796", ,"29495","26811","8218", , , , , ,"8141637", ,"8141637", ,"8141637"
